"ID_fish","bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"R/GG",-0.722856901174767,0.389925955450001,0.596203627445878,0.338508630019626,-0.347743782332198,0.481116396956221,-0.138338730804047,0.311965548029379,0.252870055733337,0.354067257178792,0.443721595684991,0.385721021866799,4,8,"E",-1.83894811682188,-0.665742639023289,1.77868038649248,8.77893566763929,6,8,-0.0039102634444849,2.08420175072947,"fulton4",0.0286320626289073,1.11820135534161,-1.07153940363655,-0.453807772817146
"R/GR",-0.49682244887583,0.354321914146269,0.375780484202605,0.302483267579164,-0.65397393426214,0.47483133347938,0.168781149256282,0.288096877869332,0.273600753549363,0.354951502359981,0.385046401377975,0.380464645204815,4,8,"E",-1.24734660118957,-0.380310649509238,1.58463181152927,6.60436044348538,4,7,-0.0090121829569316,0.618640750314626,"fulton4",0.0313387147356239,2.23023106112656,-2.15372666582324,-0.803362963672374
"R/RB",-0.070461356639561,0.443719453669971,0.18367861409198,0.373697802608749,-1.15065599226615,0.568464431769486,0.173208791942147,0.305637238325772,0.0546299506112295,0.374213007982159,0.248095311897626,0.412307524314392,4,6,"E",0.286992043481127,-1.1166606900771,0.175837878183257,24.4804098854732,7,29,0.0017147568411528,4.21940928270042,"fulton4",0.0232114406238687,-1.10886457547242,0.121604723354902,0.0554667480948836
"R/RG",-0.160198178663724,0.412393529271324,0.366212721674553,0.314735325240298,-0.134347973125791,0.473564466076505,0.43111751771272,0.2981501260318,-0.800628079337923,0.356578678051298,-0.290065839329337,0.380755887135659,4,6,"E",1.14902295292911,-1.20447133568529,0.241432223078534,5.86749594375338,1,9,-0.002089127312854,0.540832882639264,"fulton4",0.0229343095882233,-1.22272403427316,-0.685251395848325,-0.821921143118744
"R/RR",-0.707327583392596,0.361925443274624,0.486431656778211,0.295626275518154,0.010769373138425,0.472060725323905,0.181459698699083,0.279375106819265,0.00385371863086501,0.334670409981631,0.226515993282418,0.364011958540786,4,4,"E",-0.477778012817109,0.65077910979285,1.17706371659247,38.6744345442084,14,36,0.0066428230493973,8.34561343385881,"fulton4",0.0238542972331108,-0.844746536710275,1.16691530984381,1.03961962822579
"RB/B",-0.421166914649981,0.357242586429295,0.322973956378945,0.306886247503358,-0.216325759811676,0.465128422351225,0.525736185884919,0.302594134630122,-0.417545477888115,0.342606511320451,-0.312533895291047,0.380369431569925,4,2,"E",-0.647495119726397,-1.35761129472733,0.194510088077179,19.4152644714596,17,6,0.0104842250822252,4.70039219294513,"fulton4",0.0248675280095535,-0.428460040405926,1.98172948688496,0.17018737244358
"RB/G",-0.96404044882451,0.463740738332523,0.339593828967343,0.319134614141293,-0.230617817514306,0.483943152132496,0.037235512187666,0.302510161464602,0.236504303366919,0.362437968583443,0.572673223547743,0.388125977907496,4,2,"E",-1.90838876557546,0.614550614609994,0.254375427181438,12.3809483560139,9,8,0.0027428459405854,3.03433613128482,"fulton4",0.0243096079559464,-0.657681842323003,0.339676553983487,-0.227188475060774
"RB/R",-0.381576093552778,0.352673540425713,0.472643054900472,0.295504771211775,-0.385550291610568,0.464864715171253,0.370507824971973,0.278337111130126,-0.423386751362749,0.337808210749821,-0.235736652489645,0.374223619847283,4,2,"E",0.430480370384653,-1.75571400946467,0.417283281259747,37.4055884843353,21,31,-0.0069049832185788,9.00820000891306,"fulton4",0.0256878532411182,-0.0914289075014917,-1.70676063467256,1.1976550676484
"RG/G",-0.386543368009262,0.355369632096279,0.487742138315224,0.297777079182366,-0.266084198591709,0.465428643736751,0.44222486480747,0.288073941440253,-0.341617631158357,0.334483898242302,-0.353664002282145,0.37953295252161,4,1,"E",-0.117054344872901,-0.761434086803312,0.453799119957001,24.3217272904104,18,13,0.0052801398939509,6.64789770575046,"fulton4",0.0277561818378145,0.758345186163228,0.877871480433563,0.634692542155097
"RR/B",-0.456508191137937,0.343891771453757,0.309849980108631,0.301981076287177,-0.658476309166038,0.467606376496033,0.126830118528828,0.277961946283941,0.13252557442658,0.348716649295496,0.329177729050756,0.374671341293442,4,2,"E",-0.668248230146872,-0.596362927545204,1.31260849736527,33.0808767427343,31,6,0.0008071604605022,10.0104557633864,"fulton4",0.0288636302482677,1.21334105615046,-0.0709089452654406,1.4367059849705
"RR/R",-0.372272675141162,0.367511731451131,0.252757334651665,0.322229249711423,-0.662590950152526,0.492096280717318,-0.0610450523530802,0.297582803178212,0.126028509619761,0.350706367778291,0.699659611983941,0.399962709568846,4,1,"E",-0.495282631349995,0.562482141264962,-0.421050336676635,4.33233850004814,0,9,-0.0051150210275943,0,"fulton4",0.0299222785594746,1.64828737493291,-1.32708504822838,-0.95091675739767
